"Name","Plugin","Role","Version","Support Level","Path","Required Variables","Default"
"Bitbucket Server ","@backstage/plugin-scaffolder-backend-module-bitbucket-server","Backend","0.1.8","Community Support","./dynamic-plugins/dist/backstage-plugin-scaffolder-backend-module-bitbucket-server-dynamic",";","Enabled"
"Datadog ","@roadiehq/backstage-plugin-datadog","Frontend","2.2.8","Community Support","./dynamic-plugins/dist/roadiehq-backstage-plugin-datadog",";","Disabled"
"Dynatrace ","@backstage/plugin-dynatrace","Frontend","10.0.4","Community Support","./dynamic-plugins/dist/backstage-plugin-dynatrace",";","Disabled"
"Gerrit ","@backstage/plugin-scaffolder-backend-module-gerrit","Backend","0.1.10","Community Support","./dynamic-plugins/dist/backstage-plugin-scaffolder-backend-module-gerrit-dynamic",";","Enabled"
"GitHub ","@backstage/plugin-catalog-backend-module-github","Backend","0.6.1","Community Support","./dynamic-plugins/dist/backstage-plugin-catalog-backend-module-github-dynamic","`GITHUB_ORG`;","Disabled"
"GitHub ","@backstage/plugin-scaffolder-backend-module-github","Backend","0.2.8","Community Support","./dynamic-plugins/dist/backstage-plugin-scaffolder-backend-module-github-dynamic",";","Enabled"
"GitHub Actions ","@backstage/plugin-github-actions","Frontend","0.6.16","Community Support","./dynamic-plugins/dist/backstage-plugin-github-actions",";","Disabled"
"GitHub Insights ","@roadiehq/backstage-plugin-github-insights","Frontend","2.3.29","Community Support","./dynamic-plugins/dist/roadiehq-backstage-plugin-github-insights",";","Disabled"
"GitHub Issues ","@backstage/plugin-github-issues","Frontend","0.4.2","Community Support","./dynamic-plugins/dist/backstage-plugin-github-issues",";","Disabled"
"GitHub Org ","@backstage/plugin-catalog-backend-module-github-org","Backend","0.1.13","Community Support","./dynamic-plugins/dist/backstage-plugin-catalog-backend-module-github-org-dynamic","`GITHUB_URL`;`GITHUB_ORG`;","Disabled"
"GitHub Pull Requests ","@roadiehq/backstage-plugin-github-pull-requests","Frontend","2.5.26","Community Support","./dynamic-plugins/dist/roadiehq-backstage-plugin-github-pull-requests",";","Disabled"
"GitLab ","@immobiliarelabs/backstage-plugin-gitlab","Frontend","6.5.1","Community Support","./dynamic-plugins/dist/immobiliarelabs-backstage-plugin-gitlab",";","Disabled"
"GitLab ","@backstage/plugin-catalog-backend-module-gitlab","Backend","0.3.17","Community Support","./dynamic-plugins/dist/backstage-plugin-catalog-backend-module-gitlab-dynamic",";","Disabled"
"GitLab ","@immobiliarelabs/backstage-plugin-gitlab-backend","Backend","6.5.1","Community Support","./dynamic-plugins/dist/immobiliarelabs-backstage-plugin-gitlab-backend-dynamic","`GITLAB_HOST`;`GITLAB_TOKEN`;","Disabled"
"GitLab ","@backstage/plugin-scaffolder-backend-module-gitlab","Backend","0.4.0","Community Support","./dynamic-plugins/dist/backstage-plugin-scaffolder-backend-module-gitlab-dynamic",";","Enabled"
"GitLab Org ","@backstage/plugin-catalog-backend-module-gitlab-org","Backend","0.4.0","Community Support","./dynamic-plugins/dist/backstage-plugin-catalog-backend-module-gitlab-org-dynamic",";","Disabled"
"Http Request ","@roadiehq/scaffolder-backend-module-http-request","Backend","4.3.2","Community Support","./dynamic-plugins/dist/roadiehq-scaffolder-backend-module-http-request-dynamic",";","Enabled"
"Jenkins ","@backstage/plugin-jenkins","Frontend","0.9.10","Community Support","./dynamic-plugins/dist/backstage-plugin-jenkins",";","Disabled"
"Jenkins ","@backstage/plugin-jenkins-backend","Backend","0.4.5","Community Support","./dynamic-plugins/dist/backstage-plugin-jenkins-backend-dynamic","`JENKINS_URL`;`JENKINS_USERNAME`;`JENKINS_TOKEN`;","Disabled"
"Jira ","@roadiehq/backstage-plugin-jira","Frontend","2.5.8","Community Support","./dynamic-plugins/dist/roadiehq-backstage-plugin-jira",";","Disabled"
"Kubernetes ","@backstage/plugin-kubernetes","Frontend","0.11.10","Community Support","./dynamic-plugins/dist/backstage-plugin-kubernetes",";","Disabled"
"Lighthouse ","@backstage/plugin-lighthouse","Frontend","0.4.20","Community Support","./dynamic-plugins/dist/backstage-plugin-lighthouse",";","Disabled"
"Msgraph ","@backstage/plugin-catalog-backend-module-msgraph","Backend","0.5.25","Community Support","./dynamic-plugins/dist/backstage-plugin-catalog-backend-module-msgraph-dynamic",";","Disabled"
"PagerDuty ","@pagerduty/backstage-plugin","Frontend","0.12.0","Community Support","./dynamic-plugins/dist/pagerduty-backstage-plugin",";","Disabled"
"Security Insights ","@roadiehq/backstage-plugin-security-insights","Frontend","2.3.19","Community Support","./dynamic-plugins/dist/roadiehq-backstage-plugin-security-insights",";","Disabled"
"SonarQube ","@backstage/plugin-sonarqube","Frontend","0.7.17","Community Support","./dynamic-plugins/dist/backstage-plugin-sonarqube",";","Disabled"
"SonarQube ","@backstage/plugin-sonarqube-backend","Backend","0.2.20","Community Support","./dynamic-plugins/dist/backstage-plugin-sonarqube-backend-dynamic","`SONARQUBE_URL`;`SONARQUBE_TOKEN`;","Disabled"
"Tech Radar ","@backstage/plugin-tech-radar","Frontend","0.7.4","Community Support","./dynamic-plugins/dist/backstage-plugin-tech-radar",";","Disabled"
"Utils ","@roadiehq/scaffolder-backend-module-utils","Backend","1.17.0","Community Support","./dynamic-plugins/dist/roadiehq-scaffolder-backend-module-utils-dynamic",";","Enabled"
